country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",18-11-2025 17:00,26.1875,91.744194,CO,7,75,17
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",18-11-2025 17:00,26.181742,91.78063,PM2.5,17,285,94
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",18-11-2025 17:00,26.181742,91.78063,NO2,3,4,3
India,Assam,Guwahati,"IITG, Guwahati - PCBA",18-11-2025 17:00,26.2028636,91.70046436,SO2,23,25,24
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",18-11-2025 17:00,26.10887,91.589544,PM2.5,36,79,63
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",18-11-2025 17:00,26.10887,91.589544,NO2,8,19,14
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",18-11-2025 17:00,16.509717,80.612222,PM2.5,62,81,72
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",18-11-2025 17:00,16.509717,80.612222,PM10,60,81,69
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",18-11-2025 17:00,17.72,83.3,NO2,10,100,40
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",18-11-2025 17:00,27.103358,93.679645,PM2.5,33,264,86
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",18-11-2025 17:00,25.697189,85.2459,NH3,5,10,8
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",18-11-2025 17:00,25.697189,85.2459,SO2,3,6,4
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",18-11-2025 17:00,25.560083,87.553265,NO2,11,20,16
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",18-11-2025 17:00,25.560083,87.553265,CO,40,82,61
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",18-11-2025 17:00,25.265194,87.012947,CO,5,94,56
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",18-11-2025 17:00,25.204762,85.51496,PM10,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",18-11-2025 17:00,25.56752,83.966379,CO,18,28,24
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",18-11-2025 17:00,25.7808257,84.7446768,PM2.5,NA,NA,NA
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",18-11-2025 17:00,25.7808257,84.7446768,PM10,NA,NA,NA
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",18-11-2025 17:00,25.7808257,84.7446768,NO2,NA,NA,NA
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",18-11-2025 17:00,24.7955,84.9994,OZONE,NA,NA,NA
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",18-11-2025 17:00,25.5626095,84.663264,PM2.5,43,223,121
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",18-11-2025 17:00,25.5626095,84.663264,PM10,55,169,118
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",18-11-2025 17:00,25.5626095,84.663264,CO,39,66,55
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",18-11-2025 17:00,27.308328,84.531742,SO2,16,17,17
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",18-11-2025 17:00,27.308328,84.531742,OZONE,9,16,14
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",18-11-2025 17:00,24.762518,84.982348,PM10,51,74,63
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",18-11-2025 17:00,24.762518,84.982348,OZONE,13,50,36
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",18-11-2025 17:00,26.80365,84.51954,PM10,38,157,112
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",18-11-2025 17:00,25.265194,87.012947,PM2.5,23,183,97
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",18-11-2025 17:00,25.265194,87.012947,NH3,1,13,8
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",18-11-2025 17:00,25.610369,85.132568,CO,42,70,53
India,Bihar,Patna,"Muradpur, Patna - BSPCB",18-11-2025 17:00,25.619651,85.147382,OZONE,4,40,32
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",18-11-2025 17:00,25.599486,85.113666,PM10,79,143,118
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",18-11-2025 17:00,25.892357,86.590325,SO2,12,17,14
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",18-11-2025 17:00,25.859655,85.77944,NH3,2,2,2
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",18-11-2025 17:00,25.0328,85.41948,SO2,18,32,22
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",18-11-2025 17:00,25.892357,86.590325,NO2,6,8,7
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",18-11-2025 17:00,25.366336,87.117468,NO2,5,7,6
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",18-11-2025 17:00,25.366336,87.117468,NH3,3,3,3
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",18-11-2025 17:00,25.366336,87.117468,CO,54,57,56
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",18-11-2025 17:00,30.735567,76.775714,NO2,4,54,18
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",18-11-2025 17:00,30.735567,76.775714,CO,52,107,62
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",18-11-2025 17:00,26.1403345,85.3650192,PM10,59,74,66
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",18-11-2025 17:00,26.1403345,85.3650192,NO2,17,18,17
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",18-11-2025 17:00,26.11442,85.39813,NO2,25,63,42
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",18-11-2025 17:00,26.11442,85.39813,CO,40,106,49
India,Bihar,Munger,"Town Hall, Munger - BSPCB",18-11-2025 17:00,25.376776,86.471523,CO,19,48,31
India,Bihar,Munger,"Town Hall, Munger - BSPCB",18-11-2025 17:00,25.376776,86.471523,OZONE,12,27,20
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",18-11-2025 17:00,25.586562,85.043586,CO,41,122,54
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",18-11-2025 17:00,22.368195,82.746431,NO2,15,23,19
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",18-11-2025 17:00,22.368195,82.746431,SO2,5,12,10
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",18-11-2025 17:00,22.348441,82.549611,PM2.5,53,72,55
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",18-11-2025 17:00,22.348441,82.549611,PM10,72,73,72
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",18-11-2025 17:00,22.348441,82.549611,NH3,1,2,2
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",18-11-2025 17:00,22.348441,82.549611,OZONE,34,36,35
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",18-11-2025 17:00,22.12665,83.483212,NO2,3,4,3
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",18-11-2025 17:00,22.12665,83.483212,NH3,2,2,2
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",18-11-2025 17:00,28.5512005,77.2735737,NO2,1,72,17
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",18-11-2025 17:00,28.5512005,77.2735737,OZONE,10,176,84
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",18-11-2025 17:00,28.656756,77.227234,NO2,49,204,93
India,Delhi,Delhi,"DTU, Delhi - CPCB",18-11-2025 17:00,28.7500499,77.1112615,PM10,144,444,329
India,Delhi,Delhi,"DTU, Delhi - CPCB",18-11-2025 17:00,28.7500499,77.1112615,CO,25,122,82
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",18-11-2025 17:00,28.498571,77.26484,PM2.5,267,432,348
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",18-11-2025 17:00,21.237755,81.705301,PM2.5,19,33,27
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",18-11-2025 17:00,21.371751,81.664929,NH3,3,3,3
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",18-11-2025 17:00,22.06631475,83.33820077,NO2,32,98,62
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",18-11-2025 17:00,22.06631475,83.33820077,SO2,5,24,8
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",18-11-2025 17:00,30.719859,76.738637,SO2,8,46,19
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",18-11-2025 17:00,21.194815,81.31477,NH3,1,4,3
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",18-11-2025 17:00,21.194815,81.31477,CO,22,60,27
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",18-11-2025 17:00,21.185571,81.343175,NO2,10,11,11
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",18-11-2025 17:00,28.5710274,77.0719006,NH3,12,15,13
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",18-11-2025 17:00,28.5710274,77.0719006,CO,60,193,81
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",18-11-2025 17:00,28.5710274,77.0719006,OZONE,2,183,93
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",18-11-2025 17:00,28.6811736,77.3025234,PM2.5,189,438,333
