country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",2025-11-18 17:00:00,21.237755,81.705301,6,6.0,11.0,8.0
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",2025-11-18 17:00:00,21.237755,81.705301,0,22.0,40.0,34.0
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",2025-11-18 17:00:00,22.06631475,83.33820077,5,53.0,126.0,77.0
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",2025-11-18 17:00:00,22.06631475,83.33820077,1,1.0,2.0,1.0
India,Delhi,Delhi,"Alipur, Delhi - DPCC",2025-11-18 17:00:00,28.815329,77.15301,5,301.0,486.0,385.0
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",2025-11-18 17:00:00,21.224231,81.40835,0,22.0,58.0,32.0
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",2025-11-18 17:00:00,22.118125,83.140608,1,6.0,6.0,6.0
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",2025-11-18 17:00:00,22.118125,83.140608,6,2.0,116.0,21.0
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",2025-11-18 17:00:00,22.118125,83.140608,0,28.0,64.0,33.0
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",2025-11-18 17:00:00,22.368195,82.746431,1,2.0,2.0,2.0
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",2025-11-18 17:00:00,22.368195,82.746431,0,19.0,30.0,21.0
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",2025-11-18 17:00:00,22.1910172,83.5197009,3,15.0,126.0,102.0
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",2025-11-18 17:00:00,21.258815,81.578979,0,32.0,61.0,49.0
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",2025-11-18 17:00:00,21.219665,81.630094,0,32.0,88.0,44.0
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",2025-11-18 17:00:00,28.73282,77.170633,0,62.0,175.0,88.0
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2025-11-18 17:00:00,28.58028,77.233829,3,2.0,295.0,177.0
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",2025-11-18 17:00:00,28.5918245,77.2273074,5,2.0,295.0,177.0
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",2025-11-18 17:00:00,22.12665,83.483212,4,36.0,96.0,55.0
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",2025-11-18 17:00:00,22.12665,83.483212,0,4.0,24.0,18.0
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",2025-11-18 17:00:00,22.1910172,83.5197009,4,50.0,124.0,84.0
India,Delhi,Delhi,"ITO, Delhi - CPCB",2025-11-18 17:00:00,28.628624,77.24106,5,86.0,470.0,371.0
India,Delhi,Delhi,"ITO, Delhi - CPCB",2025-11-18 17:00:00,28.628624,77.24106,4,125.0,439.0,304.0
India,Delhi,Delhi,"ITO, Delhi - CPCB",2025-11-18 17:00:00,28.628624,77.24106,2,17.0,223.0,124.0
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",2025-11-18 17:00:00,28.73282,77.170633,5,312.0,500.0,446.0
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2025-11-18 17:00:00,28.647622,77.315809,5,253.0,500.0,409.0
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2025-11-18 17:00:00,28.647622,77.315809,4,179.0,500.0,403.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2025-11-18 17:00:00,28.695381,77.181665,2,60.0,180.0,115.0
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",2025-11-18 17:00:00,28.531346,77.190156,6,2.0,18.0,9.0
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2025-11-18 17:00:00,28.672342,77.31526,5,295.0,500.0,432.0
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2025-11-18 17:00:00,28.672342,77.31526,4,193.0,500.0,402.0
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2025-11-18 17:00:00,28.699793,77.165453,5,307.0,500.0,441.0
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",2025-11-18 17:00:00,23.107969,72.574648,5,62.0,134.0,95.0
